journey_id,slug,current_price,currency,price_basis,price_on_request,proposed_action,manual_review_required
926c8370-1bea-4470-bdb7-f882ff318cc7,shenzhen-city-culture-landmarks-day-tour,1000,,,false,manual_review: add currency and price_basis columns after confirmation,true
2351fc82-887f-4b37-bad7-2c466764e0e0,guangzhou-classic-city-walk-day-tour,1000,,,false,manual_review: add currency and price_basis columns after confirmation,true
ff1ed0c8-1ea1-4ca7-9de2-707844381a68,yangshuo-karst-landscapes-river-cruise-day-tour,1000,,,false,manual_review: add currency and price_basis columns after confirmation,true
1654f129-046a-4daf-b595-a2fd00f13cc3,guilin-city-highlights-night-cruise-day-tour,1000,,,false,manual_review: add currency and price_basis columns after confirmation,true
fd6b7c12-c11d-4ae4-9a84-d451bc2fe372,dai-village-nannuo-mountain-tea-culture-day-tour,1000,,,false,manual_review: add currency and price_basis columns after confirmation,true
9d4bfc58-201f-40aa-9d95-9101ad4c2f08,xishuangbanna-elephant-valley-dai-garden-day-tour,1000,,,false,manual_review: add currency and price_basis columns after confirmation,true
dabc4159-c42e-438e-a1eb-6abd957c9104,xishuangbanna-tropical-temples-villages-day-tour,1000,,,false,manual_review: add currency and price_basis columns after confirmation,true
0389826c-8d82-4c3b-b612-2b44c0b2f781,lijiang-to-dali-across-shaxi-ancient-town-day-tour,1000,,,false,manual_review: add currency and price_basis columns after confirmation,true
1be89fa2-9420-45b5-bc61-6b9f1c43a43b,lugu-lake-with-mosuo-culture-experience-2-day-tour-,1000,,,false,manual_review: add currency and price_basis columns after confirmation,true
8d704e28-7e8c-4134-aa7e-4fe1ab76ce71,tiger-leaping-gorge-hiking-day-tour,1000,,,false,manual_review: add currency and price_basis columns after confirmation,true
b4c761e4-b3b1-4568-b173-3ff9ece44388,lijiang-yulong-snow-mountain-day-tour,1000,,,false,manual_review: add currency and price_basis columns after confirmation,true
f699fa20-3732-4bd0-8379-974e9a35420c,dali-cangshan-mountain-with-chongsheng-three-pagodas-day-tour-,1000,,,false,manual_review: add currency and price_basis columns after confirmation,true
1efb5a6e-8b7e-43ca-9dde-9e6587bee8ba,erhai-lake-loop-day-tour,1000,,,false,manual_review: add currency and price_basis columns after confirmation,true
cf231b9a-9022-477f-a583-04e5711a659c,guiyang-city-highlights-day-tour,1000,,,false,manual_review: add currency and price_basis columns after confirmation,true
0f9d936a-6cd6-443d-a7c8-b2d317a75d6c,libo-karst-landscapes-by-high-speed-rail-day-tour,1000,,,false,manual_review: add currency and price_basis columns after confirmation,true
a624b439-0fed-495c-bebc-4bd9823a47ff,huangguoshu-waterfall-vip-one-day-tour,1000,,,false,manual_review: add currency and price_basis columns after confirmation,true
c1599bf8-9d1a-4494-8401-8c7eff563838,leshan-giant-buddha-day-tour,1000,,,false,manual_review: add currency and price_basis columns after confirmation,true
1625c038-3464-4a7a-b5d9-c345f195dd74,yangtze-river-cruise-with-century-sakura-4-days-from-chongqing-to-yichang,1000,,,false,manual_review: add currency and price_basis columns after confirmation,true
ba5e65c7-23b9-4be6-87fb-886a09de2947,phoenix-ancient-town-by-high-speed-rail-day-tour,1000,,,false,manual_review: add currency and price_basis columns after confirmation,true
743d03b7-82a9-4d72-9715-10ee9df9f231,siguniang-mountain-2-day-tour,540,,,false,manual_review: add currency and price_basis columns after confirmation,true
d3485450-4186-468d-803d-f6e87fc48cf5,tibetan-qiang-glacier-3-day-in-depth-tour,1000,,,false,manual_review: add currency and price_basis columns after confirmation,true
5d2baed2-a662-4fe5-8b49-8d8ee0f16483,tibetan-qiang-villages-with-bipenggou-2-day-tour,1000,,,false,manual_review: add currency and price_basis columns after confirmation,true
6ab8d247-4eae-47dc-b344-17ed2352dd1c,wulong-pengshui-by-high-speed-rail-2-day-tour,1000,,,false,manual_review: add currency and price_basis columns after confirmation,true
d48f2466-e466-4801-886c-cd28c6cc97c6,chongqing-highlights-magic-cityscape-day-tour,203,,,false,manual_review: add currency and price_basis columns after confirmation,true
f0f123a2-0413-4050-99d8-46f2b0cd8ec9,chengdu-panda-dujiangyan-mt-qingcheng-2-day-classic-tour,1000,,,false,manual_review: add currency and price_basis columns after confirmation,true
22567336-9280-46a9-9309-73f1dc45bf01,phoenix-ancient-town-aizhai-bridge-2-day-tour,1000,,,false,manual_review: add currency and price_basis columns after confirmation,true
062f363b-eabb-493c-a15b-fe769db12ac5,jiuzhaigou-huanglong-by-high-speed-rail-3-day-tour,786,,,false,manual_review: add currency and price_basis columns after confirmation,true
2952bb01-6cb2-452e-b1c9-ee25c19b2dcb,xichang-lake-ancient-town-day-tour,1000,,,false,manual_review: add currency and price_basis columns after confirmation,true
6cbaf3e2-63ef-4d78-b1cb-1ed4ef635d13,chongqing-retro-modern-day-tour,1000,,,false,manual_review: add currency and price_basis columns after confirmation,true
28ae5874-2c8f-4f88-895e-09cb45c36872,leshan-buddha-emei-mountain-2-day-tour,456,,,false,manual_review: add currency and price_basis columns after confirmation,true
8a6bf407-eb4e-4864-8e1d-091ab007ef59,xichang-luojishan-waterfall-hot-spring-day-tour,1000,,,false,manual_review: add currency and price_basis columns after confirmation,true
3ec32480-b591-470f-bd10-9714c84588ef,chengdu-panda-ancient-irrigation-day-tour,1000,,,false,manual_review: add currency and price_basis columns after confirmation,true
1a95095c-9f0d-4b6d-a30e-8084a7277304,chongqing-wulong-karst,399,,,false,manual_review: add currency and price_basis columns after confirmation,true
e468b842-7c59-4258-8d56-8b585566be82,chengdu-panda-alley-culture-day-tour,185,,,false,manual_review: add currency and price_basis columns after confirmation,true
